"","Authors       ","Articles","Authors       ","Articles Fractionalized","Paper         ","TC","TCperYear","Country","Articles","SCP","MCP","Freq","MCP_Ratio","SCP_Ratio","Country     ","Total Citations","Average Article Citations","Sources       ","Articles","Author Keywords (DE)     ","Articles","Keywords-Plus (ID)    ","Articles"
"31","AGUILERA-LIZARAZU G","1","RUZIEV K        ","1.0","YUAN Y, 2015, CHINA ECON REV           "," 19"," 3.17","KOREA          "," 1",1," 0",0.01,0,0.01,"PAKISTAN       ","   4","  2.00","AFRICAN JOURNAL OF BUSINESS MANAGEMENT                                                  ","1","INDONESIA                   "," 3","CAPITAL STRUCTURE    "," 6"
"32","AGUILERAALFRED N   ","1","SACKEY FG       ","1.0","INFANTE L, 2014, J CORP FINANC         "," 19"," 2.71","KYRGYZSTAN     "," 1",0," 1",0.01,1,0,"NETHERLANDS    ","   3","  3.00","AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS                                              ","1","INFORMAL CREDIT             "," 3","CHOICE               "," 6"
"33","AGUMBA J           ","1","SARAP K         ","1.0","ZHAO HX, 2016, J BUS VENTURING         "," 18"," 3.60","NETHERLANDS    "," 1",1," 0",0.01,0,0.01,"KOREA          ","   2","  2.00","ARGUMENTA OECONOMICA                                                                    ","1","INVESTMENT                  "," 3","DEBT                 "," 6"
"34","AHMAD SZ           ","1","SHIHADEH FH     ","1.0","DRAKOS K, 2011, J INT MONEY FINANC     "," 17"," 1.70","NORWAY         "," 1",0," 1",0.01,1,0,"COLOMBIA       ","   1","  1.00","ASIA PACIFIC JOURNAL OF MANAGEMENT                                                      ","1","PANEL DATA                  "," 3","GOVERNANCE           "," 6"
"35","AHMED AD           ","1","SOLO TM         ","1.0","BRUDER J, 2011, INT J ENTREP BEHAV R   "," 17"," 1.70","PERU           "," 1",1," 0",0.01,0,0.01,"KENYA          ","   1","  1.00","ASIAN-PACIFIC ECONOMIC LITERATURE                                                       ","1","PERFORMANCE                 "," 3","INEQUALITY           "," 6"
"36","AKOL CM            ","1","STOREY DJ       ","1.0","SOLO TM, 2008, ENVIRON URBAN           "," 17"," 1.31","POLAND         "," 1",1," 0",0.01,0,0.01,"KYRGYZSTAN     ","   1","  1.00","ASIAN REVIEW OF ACCOUNTING                                                              ","1","SMALL AND MEDIUM ENTERPRISES"," 3","LENDING RELATIONSHIPS"," 6"
"37","ALAM Q             ","1","SWAMY V         ","1.0","KIM GO, 2006, SMALL BUS ECON           "," 17"," 1.13","SPAIN          "," 1",0," 1",0.01,1,0,"SOUTH AFRICA   ","   1","  0.50","ASIAN WOMEN                                                                             ","1","SME                         "," 3","PROPENSITY SCORE     "," 6"
"38","ALDEN L            ","1","WORSWICK C      ","1.0","BAYDAS MM, 1994, WORLD DEV             "," 17"," 0.63","SWEDEN         "," 1",1," 0",0.01,0,0.01,"UGANDA         ","   1","  1.00","B E JOURNAL OF ECONOMIC ANALYSIS & POLICY                                               ","1","VIETNAM                     "," 3","COMPETITION          "," 5"
"39","ALESINA AF         ","1","YING QW         ","1.0","SAEED A, 2015, MANAG DECIS ECON        "," 16"," 2.67","SWITZERLAND    "," 1",0," 1",0.01,1,0,"NORWAY         ","   0","  0.00","CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE                             ","1","WOMEN                       "," 3","COST                 "," 5"
"40","ALIMI T            ","1","ZEGARRA LF      ","1.0","MPUGA P, 2010, AFR DEV REV             "," 16"," 1.45","UGANDA         "," 1",1," 0",0.01,0,0.01,"POLAND         ","   0","  0.00","CAPITALISM SOCIALISM AND RADICAL POLITICAL ECONOMY: ESSAYS IN HONOR OF HOWARD J. SHERMAN","1","ACCESS TO FINANCE           "," 2","ECONOMIC GROWTH      "," 5"
"41","ALLEN F            ","1","ZELLER M        ","1.0","TAKAHASHI K, 2010, DEV ECON            "," 16"," 1.45","ZIMBABWE       "," 1",0," 1",0.01,1,0,"SPAIN          ","   0","  0.00","CESIFO ECONOMIC STUDIES                                                                 ","1","ANTI CORRUPTION CAMPAIGN    "," 2","EMPOWERMENT          "," 5"
