Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"BANK LOAN OFFICERS PERCEPTIONS OF THE CHARACTERISTICS OF MEN, WOMEN, AND SUCCESSFUL ENTREPRENEURS","BUTTNER, EH; ROSEN, B",,,,JOURNAL OF BUSINESS VENTURING,SUM 1988,1988,3,3,,,,249,258,,10.1016/0883-9026(88)90018-3,,,103,3.12,0,0,0,0,1,2,0,0,1,0,0,0,2,0,1,0,1,2,1,0,3,11,6,1,6,6,6,8,7,3,5,8,7,6,8,1
From Credit to Collective Action: The Role of Microfinance in Promoting Women's Social Capital and Normative Influence,"Sanyal, Paromita",,,,AMERICAN SOCIOLOGICAL REVIEW,AUG 2009,2009,74,4,,,,529,550,,10.1177/000312240907400402,,,101,8.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,5,11,16,15,11,10,10,2
Gender and the Business Environment for New Firm Creation,"Klapper, Leora F.; Parker, Simon C.",,,,WORLD BANK RESEARCH OBSERVER,AUG 2011,2011,26,2,,,,237,257,,10.1093/wbro/lkp032,,,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,12,8,5,15,17,13,18,6
Classification situations: Life-chances in the neoliberal era,"Fourcade, Marion; Healy, Kieran",,,,ACCOUNTING ORGANIZATIONS AND SOCIETY,NOV 2013,2013,38,8,,,,559,572,,10.1016/j.aos.2013.11.002,,,98,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,13,24,13,22,15
Microenterprise lending to female entrepreneurs: Sacrificing economic growth for poverty alleviation?,"Kevane, M; Wydick, B",,,,WORLD DEVELOPMENT,JUL 2001,2001,29,7,,,,1225,1236,,10.1016/S0305-750X(01)00032-8,,,85,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4,4,7,6,6,6,2,14,9,9,8,7
Government connections and financial constraints: Evidence from a large representative sample of Chinese firms,"Cull, Robert; Li, Wei; Sun, Bo; Xu, Lixin Colin",,,,JOURNAL OF CORPORATE FINANCE,JUN 2015,2015,32,,,,,271,294,,10.1016/j.jcorpfin.2014.10.012,,,83,13.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,17,33,8
Access to Finance: An Unfinished Agenda,"Beck, Thorsten; Demirguc-Kunt, Asli",,,,WORLD BANK ECONOMIC REVIEW,2008,2008,22,3,,,,383,396,,10.1093/wber/lhn021,,,81,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,4,9,11,9,9,11,15,3
DETERMINANTS OF CREDIT RATIONING - A STUDY OF INFORMAL LENDERS AND FORMAL CREDIT GROUPS IN MADAGASCAR,"ZELLER, M",,,,WORLD DEVELOPMENT,DEC 1994,1994,22,12,,,,1895,1907,,10.1016/0305-750X(94)90181-3,,,79,2.93,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,2,1,2,2,5,4,2,5,6,3,5,1,5,9,4,3,5,8,0
Financial literacy and its consequences: Evidence from Russia during the financial crisis,"Klapper, Leora; Lusardi, Annamaria; Panos, Georgios A.",,,,JOURNAL OF BANKING & FINANCE,OCT 2013,2013,37,10,,,,3904,3923,,10.1016/j.jbankfin.2013.07.014,,,67,8.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,8,9,12,22,4
Social networks and credit access in Indonesia,"Okten, C; Osili, UO",,,,WORLD DEVELOPMENT,JUL 2004,2004,32,7,,,,1225,1246,,10.1016/j.worlddev.2004.01.012,,,66,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,3,4,3,6,3,8,5,9,12,3
What have we learned from a decade of manufacturing enterprise surveys in Africa?,"Bigsten, Arne; Soderbom, Mans",,,,WORLD BANK RESEARCH OBSERVER,FAL 2006,2006,21,2,,,,241,265,,10.1093/wbro/lkl003,,,65,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,4,7,4,9,9,8,4,1,3,5,1
"Barriers to ethnic minority and women's enterprise: Existing evidence, policy tensions and unsettled questions","Carter, Sara; Mwaura, Samuel; Ram, Monder; Trehan, Kiran; Jones, Trevor",,,,INTERNATIONAL SMALL BUSINESS JOURNAL,FEB 2015,2015,33,1,,,SI,49,69,,10.1177/0266242614556823,,,64,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,12,16,26,5
DO WOMEN PAY MORE FOR CREDIT? EVIDENCE FROM ITALY,"Alesina, Alberto F.; Lotti, Francesca; Mistrulli, Paolo Emilio",,,,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,JAN 2013,2013,11,,,1,,45,66,,10.1111/j.1542-4774.2012.01100.x,,,63,7.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,9,11,15,12,4
Relationship lending and SME financing in the continental European bank-based system,"Hernandez-Canovas, Gines; Martinez-Solano, Pedro",,,,SMALL BUSINESS ECONOMICS,MAY 2010,2010,34,4,,,,465,482,,10.1007/s11187-008-9129-7,,,62,5.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,3,4,7,6,11,9,13,2
The foundations of financial inclusion: Understanding ownership and use of formal accounts,"Allen, Franklin; Demirguc-Kunt, Asli; Klapper, Leora; Peria, Maria Soledad Martinez",,,,JOURNAL OF FINANCIAL INTERMEDIATION,JUL 2016,2016,27,,,,,1,30,,10.1016/j.jfi.2015.12.003,,,59,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,29,10
The role of bank monitoring in corporate governance: Evidence from borrowers' earnings management behavior,"Ahn, Sungyoon; Choi, Wooseok",,,,JOURNAL OF BANKING & FINANCE,FEB 2009,2009,33,2,,,,425,434,,10.1016/j.jbankfin.2008.08.013,,,59,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,6,3,4,5,5,5,7,6,8,3
Access to Finance in Sub-Saharan Africa: Is There a Gender Gap?,"Aterido, Reyes; Beck, Thorsten; Iacovone, Leonardo",,,,WORLD DEVELOPMENT,JUL 2013,2013,47,,,,,102,120,,10.1016/j.worlddev.2013.02.013,,,54,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,5,13,14,5
Racial and gender discrimination in the micro firms credit market? Evidence from Trinidad and Tobago,"Storey, DJ",,,,SMALL BUSINESS ECONOMICS,DEC 2004,2004,23,5,,,,401,422,,10.1007/s11187-004-7259-0,,,54,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,4,5,7,6,4,5,5,6,6,0
We sacrifice and eat less : The structural complexities of microinance participation,"Brett, JA",,,,HUMAN ORGANIZATION,SPR 2006,2006,65,1,,,,8,19,,10.17730/humo.65.1.6wvq3ea7pbl38mub,,,53,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,9,1,4,7,5,4,4,10,2,2,0
Greasing the wheels of bank lending: Evidence from private firms in China,"Chen, Yunling; Liu, Ming; Su, Jun",,,,JOURNAL OF BANKING & FINANCE,JUL 2013,2013,37,7,,,,2533,2545,,10.1016/j.jbankfin.2013.02.002,,,46,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,9,10,12,4
"Financial Inclusion, Gender Dimension, and Economic Impact on Poor Households","Swamy, Vighneswara",,,,WORLD DEVELOPMENT,APR 2014,2014,56,,,,,1,15,,10.1016/j.worlddev.2013.10.019,,,44,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,3,9,18,3
"Bank discrimination, holding bank ownership, and economic consequences: Evidence from China","Lu, Zhengfei; Zhu, Jigao; Zhang, Weining",,,,JOURNAL OF BANKING & FINANCE,FEB 2012,2012,36,2,,,,341,354,,10.1016/j.jbankfin.2011.07.012,,,44,4.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,5,7,6,11,3
Political uncertainty and bank loan contracting,"Francis, Bill B.; Hasan, Iftekhar; Zhu, Yun",,,,JOURNAL OF EMPIRICAL FINANCE,DEC 2014,2014,29,,,,SI,281,286,,10.1016/j.jempfin.2014.08.004,,,42,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,7,17,4
"Social capital, household welfare and poverty in Burkina Faso","Grootaert, C; Oh, GT; Swamy, A",,,,JOURNAL OF AFRICAN ECONOMIES,MAR 2002,2002,11,1,,,,4,38,,10.1093/jae/11.1.4,,,41,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,3,1,2,3,3,4,5,3,1,4,5,0
What are the biggest obstacles to growth of SMEs in developing countries? - An empirical evidence from an enterprise survey,"Wang, Yao",,,,BORSA ISTANBUL REVIEW,SEP 2016,2016,16,3,,,,167,176,,10.1016/j.bir.2016.06.001,,,40,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,20,5
"Where Is Credit Due? Legal Institutions, Connections, and the Efficiency of Bank Lending in Vietnam","Malesky, Edmund J.; Taussig, Markus",,,,JOURNAL OF LAW ECONOMICS & ORGANIZATION,OCT 2009,2009,25,2,,,,535,578,,10.1093/jleo/ewn011,,,38,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,7,9,3,5,1
Rural Women's Access to Credit: Market Imperfections and Intrahousehold Dynamics,"Fletschner, Diana",,,,WORLD DEVELOPMENT,MAR 2009,2009,37,3,,,,618,631,,10.1016/j.worlddev.2008.08.005,,,38,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,4,6,0,8,6,5,1
Access to Liquidity and Corporate Investment in Europe during the Financial Crisis,"Campello, Murillo; Giambona, Erasmo; Graham, John R.; Harvey, Campbell R.",,,,REVIEW OF FINANCE,APR 2012,2012,16,2,,,,323,346,,10.1093/rof/rfr030,,,37,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,6,7,3,6,1
Do You See What I See? Signaling Effects of Gender and Firm Characteristics on Financing Entrepreneurial Ventures,"Eddleston, Kimberly A.; Ladge, Jamie J.; Mitteness, Cheryl; Balachandra, Lakshmi",,,,ENTREPRENEURSHIP THEORY AND PRACTICE,MAY 2016,2016,40,3,,,,489,514,,10.1111/etap.12117,,,36,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,14,10
Understanding financial inclusion in China,"Fungacova, Zuzana; Weill, Laurent",,,,CHINA ECONOMIC REVIEW,JUL 2015,2015,34,,,,,196,206,,10.1016/j.chieco.2014.12.004,,,35,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,12,5
Do small businesses still prefer community banks?,"Berger, Allen N.; Goulding, William; Rice, Tara",,,,JOURNAL OF BANKING & FINANCE,JUL 2014,2014,44,,,,,264,278,,10.1016/j.jbankfin.2014.03.016,,,35,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,12,6,7,3
Is there Ethnic Discrimination in the UK Market for Small Business Credit?,"Fraser, Stuart",,,,INTERNATIONAL SMALL BUSINESS JOURNAL-RESEARCHING ENTREPRENEURSHIP,OCT 2009,2009,27,5,,,,583,607,,10.1177/0266242609338756,,,35,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,2,4,6,3,3,3,4,1
Ethnic networks and access to credit: evidence from the manufacturing sector in Kenya,"Biggs, T; Raturi, M; Srivastava, P",,,,JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,DEC 2002,2002,49,4,,,,473,486,PII S0167-2681(02)00030-6,10.1016/S0167-2681(02)00030-6,,,35,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,4,1,1,3,3,3,5,3,1
How credit access has changed over time for US households,"Lyons, AC",,,,JOURNAL OF CONSUMER AFFAIRS,WIN 2003,2003,37,2,,,,231,255,,10.1111/j.1745-6606.2003.tb00452.x,,,33,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,4,2,5,2,3,1,3,2,3,2,2
Explaining Africa's (Dis)advantage,"Harrison, Ann E.; Lin, Justin Yifu; Xu, Lixin Colin",,,,WORLD DEVELOPMENT,NOV 2014,2014,63,,,,SI,59,77,,10.1016/j.worlddev.2013.10.011,,,32,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,8,2,8,6
Perceived credit constraints in the European Union,"Canton, Erik; Grilo, Isabel; Monteagudo, Josefa; van der Zwan, Peter",,,,SMALL BUSINESS ECONOMICS,OCT 2013,2013,41,3,,,,701,715,,10.1007/s11187-012-9451-y,,,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,4,5,7,1
"Political connections, corporate governance and preferential bank loans","Yeh, Yin-Hua; Shu, Pei-Gi; Chiu, Shean-Bii",,,,PACIFIC-BASIN FINANCE JOURNAL,JAN 2013,2013,21,1,,,,1079,1101,,10.1016/j.pacfin.2012.08.003,,,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,3,4,8,4
Triggers and barriers to financial inclusion: The use of ICT-based branchless banking in an Amazon county,"Diniz, Eduardo; Birochi, Rene; Pozzebon, Marlei",,,,ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS,SEP-OCT 2012,2012,11,5,,,,484,494,,10.1016/j.elerap.2011.07.006,,,31,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,3,4,7,2
Differences in perceptions of access to finance between potential male and female entrepreneurs: Evidence from the UK,"Kwong, Caleb; Jones-Evans, Dylan; Thompson, Piers",,,,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,2012,2012,18,1,,,,75,+,,10.1108/13552551211201385,,,31,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,6,4,3
HOW SMALL ENTERPRISES IN GHANA HAVE RESPONDED TO ADJUSTMENT,"STEEL, WF; WEBSTER, LM",,,,WORLD BANK ECONOMIC REVIEW,SEP 1992,1992,6,3,,,,423,438,,10.1093/wber/6.3.423,,,31,1.07,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,0,1,0,0,0,4,2,1,2,4,1,1,0,0,0,1,3,1,1,2,0
Financial inclusion in India: An axiomatic approach,"Chakravarty, Satya R.; Pal, Rupayan",,,,JOURNAL OF POLICY MODELING,SEP-OCT 2013,2013,35,5,,,,813,837,,10.1016/j.jpolmod.2012.12.007,,,30,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,9,8,2
Do banks value the eco-friendliness of firms in their corporate lending decision? Some empirical evidence,"Nandy, Monomita; Lodh, Suman",,,,INTERNATIONAL REVIEW OF FINANCIAL ANALYSIS,DEC 2012,2012,25,,,,SI,83,93,,10.1016/j.irfa.2012.06.008,,,30,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,6,8,8,1
Access to Credit by Firms in Sub-Saharan Africa: How Relevant is Gender?,"Asiedu, Elizabeth; Kalonda-Kanyama, Isaac; Ndikumana, Leonce; Nti-Addae, Akwasi",,,,AMERICAN ECONOMIC REVIEW,MAY 2013,2013,103,3,,,,293,297,,10.1257/aer.103.3.293,,,28,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,7,8,4
"Access to Credit by Small Businesses: How Relevant Are Race, Ethnicity, and Gender?","Asiedu, Elizabeth; Freeman, James A.; Nti-Addae, Akwasi",,,,AMERICAN ECONOMIC REVIEW,MAY 2012,2012,102,3,,,,532,537,,10.1257/aer.102.3.532,,,28,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,5,3,6,5,2
Social Capital and Access to Bank Financing: The Case of Chinese Entrepreneurs,"Talavera, Oleksandr; Xiong, Lin; Xiong, Xiong",,,,EMERGING MARKETS FINANCE AND TRADE,JAN-FEB 2012,2012,48,1,,,,55,69,,10.2753/REE1540-496X480103,,,28,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,6,1,4,8,1
"THE FEMINISATION OF FINANCE Gender, Labour and the Limits of Inclusion","Allon, Fiona",,,,AUSTRALIAN FEMINIST STUDIES,MAR 2014,2014,29,79,,,SI,12,30,,10.1080/08164649.2014.901279,,,27,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,5,8,0
"Internal governance, legal institutions and bank loan contracting around the world","Ge, Wenxia; Kim, Jeong-Bon; Song, Byron Y.",,,,JOURNAL OF CORPORATE FINANCE,JUN 2012,2012,18,3,,,,413,432,,10.1016/j.jcorpfin.2012.01.006,,,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,5,5,6,0
The Benefits of Political Connection: Evidence from Individual Bank-Loan Contracts,"Chen, Yan-Shing; Shen, Chung-Hua; Lin, Chih-Yung",,,,JOURNAL OF FINANCIAL SERVICES RESEARCH,JUN 2014,2014,45,3,,,,287,305,,10.1007/s10693-013-0167-1,,,26,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,3,8,2
Microcredit: an answer to the gender problem in funding?,"Brana, S.",,,,SMALL BUSINESS ECONOMICS,JAN 2013,2013,40,1,,,,87,100,,10.1007/s11187-011-9346-3,,,26,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,6,7,3,1
"Social Networks, Neighborhood Effects, and Credit Access: Evidence from Rural Guatemala","Wydick, Bruce; Hayes, Harmony Karp; Kempf, Sarah Hilliker",,,,WORLD DEVELOPMENT,JUN 2011,2011,39,6,,,SI,974,982,,10.1016/j.worlddev.2009.10.015,,,26,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,4,3,6,6,1
Credit constraints and determinants of the cost of capital in Vietnamese manufacturing,"Rand, John",,,,SMALL BUSINESS ECONOMICS,JUN 2007,2007,29,1-2,,,,1,13,,10.1007/s11187-005-1161-2,,,26,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,3,3,6,4,3,2
Financing the development of urban minority communities: Lessons of history,"Bates, T",,,,ECONOMIC DEVELOPMENT QUARTERLY,AUG 2000,2000,14,3,,,,227,241,,10.1177/089124240001400301,,,26,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,1,0,3,0,4,0,3,2,1,1,0,3,0,0,1,0,0
"Gender, borrowing patterns and self-employment: some evidence for England","Sena, Vania; Scott, Jonathan; Roper, Stephen",,,,SMALL BUSINESS ECONOMICS,MAY 2012,2012,38,4,,,,467,480,,10.1007/s11187-010-9272-9,,,25,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,3,4,2,5,2
Culture and externally financed firm growth,"Boubakri, Narjess; Saffar, Walid",,,,JOURNAL OF CORPORATE FINANCE,DEC 2016,2016,41,,,,,502,520,,10.1016/j.jcorpfin.2016.04.003,,,24,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,7,7
"Factors affecting households' decisions in biogas technology adoption, the case of Ofla and Mecha Districts, northern Ethiopia","Mengistu, Mulu Getachew; Simane, Belay; Eshete, Getachew; Workneh, Tilahun Seyoum",,,,RENEWABLE ENERGY,AUG 2016,2016,93,,,,,215,227,,10.1016/j.renene.2016.02.066,,,24,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,8,5
MICROENTERPRISES AND SIGNIFICANT RISK FACTORS IN LOAN PROCESS,"Belas, Jaroslav; Vojtovic, Sergej; Kljucnikov, Aleksandr",,,,ECONOMICS & SOCIOLOGY,2016,2016,9,1,,,,43,59,,,,,23,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,8,0
Firm credit in the euro area: a tale of three crises,"Holton, Sarah; Lawless, Martina; McCann, Fergal",,,,APPLIED ECONOMICS,JAN 12 2014,2014,46,2,,,,190,211,,10.1080/00036846.2013.824547,,,23,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,4,2,4,2
Does risk management matter? Evidence from the US agricultural industry,"Cornaggia, Jess",,,,JOURNAL OF FINANCIAL ECONOMICS,AUG 2013,2013,109,2,,,,419,440,,10.1016/j.jfineco.2013.03.004,,,23,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,3,7,2
